[186]	validation_0-auc:0.921631	validation_1-auc:0.663855
[187]	validation_0-auc:0.922395	validation_1-auc:0.663836
[188]	validation_0-auc:0.923287	validation_1-auc:0.663779
[189]	validation_0-auc:0.923401	validation_1-auc:0.663738
[190]	validation_0-auc:0.923878	validation_1-auc:0.663837
[191]	validation_0-auc:0.92468	validation_1-auc:0.663695
[192]	validation_0-auc:0.925203	validation_1-auc:0.663533
[193]	validation_0-auc:0.92603	validation_1-auc:0.66343
[194]	validation_0-auc:0.92679	validation_1-auc:0.663346
[195]	validation_0-auc:0.927539	validation_1-auc:0.663143
[196]	validation_0-auc:0.927844	validation_1-auc:0.662866
[197]	validation_0-auc:0.928665	validation_1-auc:0.662895
[198]	validation_0-auc:0.929042	validation_1-auc:0.662767
[199]	validation_0-auc:0.929819	validation_1-auc:0.662776
[200]	validation_0-auc:0.930245	validation_1-auc:0.662622
[201]	validation_0-auc:0.930656	validation_1-auc:0.662618
[202]	validation_0-auc:0.931554	validation_1-auc:0.662459
[203]	validation_0-auc:0.932453	validation_1-auc:0.662293
[204]	validation_0-auc:0.93301	validation_1-auc:0.662065
[205]	validation_0-auc:0.933621	validation_1-auc:0.662001
[206]	validation_0-auc:0.934099	validation_1-auc:0.661933
[207]	validation_0-auc:0.934362	validation_1-auc:0.661967
[208]	validation_0-auc:0.934916	validation_1-auc:0.661781
[209]	validation_0-auc:0.93519	validation_1-auc:0.661589
[210]	validation_0-auc:0.935761	validation_1-auc:0.661586
[211]	validation_0-auc:0.936373	validation_1-auc:0.661431
[212]	validation_0-auc:0.936864	validation_1-auc:0.661255
[213]	validation_0-auc:0.937324	validation_1-auc:0.660991
[214]	validation_0-auc:0.937996	validation_1-auc:0.660592
[215]	validation_0-auc:0.938209	validation_1-auc:0.660389
[216]	validation_0-auc:0.938704	validation_1-auc:0.660249
[217]	validation_0-auc:0.939099	validation_1-auc:0.660022
[218]	validation_0-auc:0.939388	validation_1-auc:0.659708
[219]	validation_0-auc:0.939992	validation_1-auc:0.659662
[220]	validation_0-auc:0.940346	validation_1-auc:0.659584
[221]	validation_0-auc:0.941105	validation_1-auc:0.659282
[222]	validation_0-auc:0.941427	validation_1-auc:0.65939
[223]	validation_0-auc:0.942228	validation_1-auc:0.659129
[224]	validation_0-auc:0.942847	validation_1-auc:0.659075
[225]	validation_0-auc:0.943707	validation_1-auc:0.658898
[226]	validation_0-auc:0.944119	validation_1-auc:0.658849
[227]	validation_0-auc:0.944328	validation_1-auc:0.65872
[228]	validation_0-auc:0.944715	validation_1-auc:0.658734
[229]	validation_0-auc:0.945328	validation_1-auc:0.658573
[230]	validation_0-auc:0.945646	validation_1-auc:0.658527
[231]	validation_0-auc:0.945995	validation_1-auc:0.658428
[232]	validation_0-auc:0.94618	validation_1-auc:0.658409
[233]	validation_0-auc:0.946656	validation_1-auc:0.658214
[234]	validation_0-auc:0.947077	validation_1-auc:0.658317
[235]	validation_0-auc:0.947302	validation_1-auc:0.658331
[236]	validation_0-auc:0.947358	validation_1-auc:0.658375
[237]	validation_0-auc:0.947812	validation_1-auc:0.658605
[238]	validation_0-auc:0.948098	validation_1-auc:0.658526
[239]	validation_0-auc:0.948263	validation_1-auc:0.658527
[240]	validation_0-auc:0.948402	validation_1-auc:0.658332
[241]	validation_0-auc:0.948915	validation_1-auc:0.658459
[242]	validation_0-auc:0.949363	validation_1-auc:0.658244
[243]	validation_0-auc:0.949805	validation_1-auc:0.657978
[244]	validation_0-auc:0.95051	validation_1-auc:0.657816
[245]	validation_0-auc:0.950877	validation_1-auc:0.65792
[246]	validation_0-auc:0.951338	validation_1-auc:0.657578
[247]	validation_0-auc:0.951581	validation_1-auc:0.657639
[248]	validation_0-auc:0.951751	validation_1-auc:0.657422
